"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"BOM";"CENTROID_NOT_SPECIFIED";"COPYRIGHT";"DATASHEET";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"FREQUENCY";"HEIGHT";"LEAD_FREE";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MOUSER-PURCHASE-URL";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"PACKAGE";"POPULARITY";"PREFIX";"PRICE";"PROD_ID";"ROHS";"SPICEPREFIX";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"TP_SIGNAL_NAME";
"1";"";"AUDIOSHIELD";"AUDIOSHIELD";"U$1";"Teensy 3 Audioshield by PJRC.COM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"";"PINHD-1X1";"1X01";"JP7, JP11, JP12, JP13";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X10";"1X10";"U$7";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"35";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X11";"1X11";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"12";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X6";"1X06";"JP4";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"";"";"";"";"";
"1";"0.01uF";"CAP_CERAMIC0805";"0805";"C8";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"0.1uF";"C-USC0805";"C0805";"C5, C21";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";
"1";"0.1µF";"CAP_CERAMIC0805";"0805";"C7";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100";"R-US_R0603";"R0603";"R13";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"";"R";"";"";"";
"1";"100";"R-US_R0805";"R0805";"R29";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"";"R";"";"";"";
"1";"100k";"R-US_R0805";"R0805";"R27";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"";"R";"";"";"";
"1";"100pF";"CAP_CERAMIC0805";"0805";"C9";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"10k";"R-US_R0805";"R0805";"R1, R2, R3, R4, R5, R17, R18, R32";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"";"R";"";"";"";
"2";"10uF";"C-USC0805";"C0805";"C2, C3";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";
"1";"10uF";"CAP_CERAMIC0805";"0805";"C10";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"1727052";"1727052";"1727052";"J2, J3, J4";"PCB terminal block, nominal current: 13.5 A, rated voltage (III/2): 200 V, nominal cross section: 1.5 mm?, Number of potentials: 6, Number of rows: 1, Number of positions per row: 6, product range: MKDS 1, pitch: 3.81 mm, connection method: Screw connection with tension sleeve, mounting: Wave soldering, conductor/PCB connection direction: 0 ?, color: green, Pin layout: Linear pinning, Solder pin [P]: 3.5 mm, type of packaging: packed in cardboard";"1727052";"https://www.arrow.com/en/products/1727052/phoenix-contact?region=nac";"";"";"";"";"";"PCB terminal block, nominal current: 13.5 A, rated voltage (III/2): 200 V, nominal cross section: 1.5 mm?, Number of potentials: 6, Number of rows: 1, Number of positions per row: 6, product range: MKDS 1, pitch: 3.81 mm, connection method: Screw connection with tension sleeve, mounting: Wave soldering, conductor/PCB connection direction: 0 ?, color: green, Pin layout: Linear pinning, Solder pin [P]: 3.5 mm, type of packaging: packed in cardboard";"";"";"";"";"8.65mm";"";"Phoenix Contact";"1727052";"";"";"";"651-1727052";"https://www.mouser.co.uk/ProductDetail/Phoenix-Contact/1727052?qs=WWq3Ki8dym7VpMyTMk0i8A%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"1K";"RESISTOR0805";"0805";"R6, R7, R8";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1M";"RESISTOR0805";"0805";"R9, R10";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"1uF";"C-USC0805";"C0805";"C1, C4, C6";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";
"2";"220";"R-US_R0805";"R0805";"R14, R23";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"";"R";"";"";"";
"1";"22K";"RESISTOR0805";"0805";"R11";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"3310P-125-103L";"3310P-125-103L";"3310P125103L";"VR1";"POT 10K OHM 1/4W PLASTIC LINEAR";"3310P-125-103L";"https://www.arrow.com/en/products/3310p-125-103l/bourns?region=nac";"";"";"";"";"";"POT 10K OHM 1/4W PLASTIC LINEAR";"";"";"";"";"18.9mm";"";"Bourns";"3310P-125-103L";"";"";"";"652-3310P-125-103L";"https://www.mouser.co.uk/ProductDetail/Bourns/3310P-125-103L?qs=%2FALxmKEvhOKZldKKUAf6OQ%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"3386P-1-104LF";"3386P-1-104LF";"POT_3386P";"R12";"";"";"";"";"";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"";"";"";"3386P-1-104LF";"";"Bourns Electronics";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"9pF";"C-USC0805";"C0805";"C16, C17";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";
"2";"BLM18PG471SN1D";"BLM18PG471SN1D";"BLM18SP221SN1B";"FB2, FB3";"0603 Ferrite Bead,470R,25%,1A,R2";"BLM18PG471SN1D";"https://www.arrow.com/en/products/blm18pg471sn1d/murata-manufacturing?region=nac";"";"";"";"";"";"0603 Ferrite Bead,470R,25%,1A,R2";"";"";"";"";"0.95mm";"";"Murata Electronics";"BLM18PG471SN1D";"";"";"";"81-BLM18PG471SN1D";"https://www.mouser.co.uk/ProductDetail/Murata-Electronics/BLM18PG471SN1D?qs=EYzdjubb4S%2FN1Ip39GrHyg%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BNO055";"BNO055";"LGA28R50P4X10_380X520X100";"U8";"BNO055 9-axis Absolute Orientation Sensor ( SiP ) w/Sensors and Sensor Fusion Buy Part";"";"";"Warning";"";"";"";"";" Accelerometer, Gyroscope, Magnetometer, 9 Axis Sensor I²C, UART Output ";"https://snapeda.com/shop?store=DigiKey&id=51961";"";"";"";"";"";"";"";"Bosch";"";"https://snapeda.com/shop?store=Mouser&id=51961";"";"";"BNO055";"";"LGA-28 Bosch";"";"";"None";"";"";"";"";"";"";
"2";"BSS138";"MOSFET-NWIDE";"SOT23-WIDE";"Q3, Q4";"N-Channel Mosfet";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"CSD17575Q3";"CSD17575Q3";"CSD16327";"Q1, Q2";"30V, N ch NexFET MOSFET, single SON3x3, 3.2mOhm";"CSD17575Q3";"https://www.arrow.com/en/products/csd17575q3/texas-instruments";"";"";"";"";"";"30V, N ch NexFET MOSFET, single SON3x3, 3.2mOhm";"";"";"";"";"mm";"";"Texas Instruments";"CSD17575Q3";"";"";"";"595-CSD17575Q3";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/CSD17575Q3?qs=1MXlzafEN3%2FTIl0%2FpyGUYQ%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"DS04-254-2-02BK-SMT";"DS04-254-2-02BK-SMT";"DS04254202BKSMT";"IC4";"DIP Switches / SIP Switches DIP Switch, SPST, 2.54 pitch, flat actuator, SMT, 2 position, Black";"DS04-254-2-02BK-SMT";"https://www.arrow.com/en/products/ds04-254-2-02bk-smt/cui-devices?region=nac";"";"";"";"";"";"DIP Switches / SIP Switches DIP Switch, SPST, 2.54 pitch, flat actuator, SMT, 2 position, Black";"";"";"";"";"4.85mm";"";"Same Sky";"DS04-254-2-02BK-SMT";"";"";"";"490-DS04254202BK-SMT";"https://www.mouser.co.uk/ProductDetail/Same-Sky/DS04-254-2-02BK-SMT?qs=wnTfsH77Xs4sTcTiPxa5bg%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"G6K-2P-Y-DC5";"G6K-2P-Y-DC5";"G6K2PYDC12";"K1, K2";"Low Signal Relays - PCB ThruHole NoLatch 3.2 DPDT 5VDC 100mW";"";"";"";"";"";"";"";"Low Signal Relays - PCB ThruHole NoLatch 3.2 DPDT 5VDC 100mW";"";"";"";"";"5.3mm";"";"Omron Electronics";"G6K-2P-Y-DC5";"";"";"";"653-G6K-2P-Y-DC5";"https://www.mouser.co.uk/ProductDetail/Omron-Electronics/G6K-2P-Y-DC5?qs=HDDQUw%2F3PhrvM4dCY49XOA%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"GPTS203211B";"GPTS203211B";"GPTS203211B";"S1";"Pushbutton Switches SPST ON-OFF";"";"";"";"";"";"";"";"Pushbutton Switches SPST ON-OFF";"";"";"";"";"mm";"";"CW Industries";"GPTS203211B";"";"";"";"629-GPTS203211B";"https://www.mouser.co.uk/ProductDetail/CW-Industries/GPTS203211B?qs=sajaCoHCXPR%252BmLwibobs6Q%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"JP5, JP6, JP9";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"JUMPER-SMT_3_1-NC_TRACE_NO-SILK";"JUMPER-SMT_3_1-NC_TRACE_NO-SILK";"SMT-JUMPER_3_1-NC_TRACE_NO-SILK";"JP2, JP3, JP8, JP14";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LTC4311CSC6#TRPBF";"LTC4311CSC6#TRPBF";"SOT65P210X100-6N";"IC1";"Interface - Specialized I2C/SMBus Rise Time Accelerator";"LTC4311CSC6#TRPBF";"https://www.arrow.com/en/products/ltc4311csc6trpbf/analog-devices?region=nac";"";"";"";"";"";"Interface - Specialized I2C/SMBus Rise Time Accelerator";"";"";"";"";"1mm";"";"Analog Devices";"LTC4311CSC6#TRPBF";"";"";"";"584-LTC4311CSC6TRPBF";"https://www.mouser.co.uk/ProductDetail/Analog-Devices/LTC4311CSC6TRPBF?qs=hVkxg5c3xu8dDGkXCTUXoQ%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MAX17048G+T10";"MAX17048G+T10";"SON50P200X200X80-9N";"IC2";"3A 1-Cell/2-Cell Fuel Gauge with ModelGauge";"MAX17048G+T10";"https://www.arrow.com/en/products/max17048gt10/analog-devices?region=nac";"";"";"";"";"";"3A 1-Cell/2-Cell Fuel Gauge with ModelGauge";"";"";"";"";"0.8mm";"";"Analog Devices";"MAX17048G+T10";"";"";"";"700-MAX17048G+T10";"https://www.mouser.co.uk/ProductDetail/Analog-Devices-Maxim-Integrated/MAX17048G%2bT10?qs=D7PJwyCwLAoGnnn8jEPRBQ%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MAX4466EXK+T";"MAX4466""";"SC70-5";"U1";"MAX4466 - Microphone Pre-Amp";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"U$11, U$14, U$15, U$16, U$17, U$18, U$19";"Mounting Hole";"";"";"";"EXCLUDE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"NDK_NX3215SA-32.768K-STD-MUA-9";"NDK_NX3215SA-32.768K-STD-MUA-8NDK_NX3215SA-32.768K-STD-MUA-8_0_0";"NDK_NX3215SA-32.768K-STD-MUA-8_0";"Y1";"Crystal Unit";"";"";"";"";"No";"";"http://www.ndk.com/images/products/catalog/c_NX3215SA-STD-MUA-14_e.pdf";"";"";"CRYSTAL 32.7680KHZ 12.5PF SMD";"644-1156-1-ND";"32.768kHz";"";"yes";"";"";"NDK";"";"";"";"";"";"NX3215SA-32.768K-STD-MUA-8";"XTAL_3MM2_1MM5";"";"Y";"";"";"yes";"";"+85°C";"-40°C";"";
"1";"PAM8904EGPR";"PAM8904EGPR";"QFN40P200X200X80-13N";"IC3";"Audio Amplifiers Audio High Volt";"PAM8904EGPR";"https://www.arrow.com/en/products/pam8904egpr/diodes-incorporated";"";"";"";"";"";"Audio Amplifiers Audio High Volt";"";"";"";"";"0.8mm";"";"Diodes Incorporated";"PAM8904EGPR";"";"";"";"621-PAM8904EGPR";"https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/PAM8904EGPR?qs=EBDBlbfErPxEsxcCuoWH6w%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"RED";"LEDCHIP-LED0805";"CHIP-LED0805";"LED2";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"68";"";"";"";"";"";"";"";"";
"1";"SK34AQ-LTP";"SK34AQ-LTP";"DIOM5226X244N";"D12";"SCHOTTKY BARRIER RECTIFIERS 40V 3A,SMA";"SK34AQ-LTP";"https://www.arrow.com/en/products/sk34aq-ltp/micro-commercial-components?region=nac";"";"";"";"";"";"SCHOTTKY BARRIER RECTIFIERS 40V 3A,SMA";"";"";"";"";"2.44mm";"";"MCC";"SK34AQ-LTP";"";"";"";"833-SK34AQ-LTP";"https://www.mouser.co.uk/ProductDetail/Micro-Commercial-Components-MCC/SK34AQ-LTP?qs=ulEaXIWI0c8bpRN15seU2Q%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"21";"TPB1,27";"TPB1,27";"B1,27";"3V, 5V, 5VG, BQ_USB_VBUS, HYD_COM1, HYD_COM2, HYD_RX_AMP, HYD_TX_SIG, SCLG, SCL_3V, SCL_5V, SDAG, SDA_3V, SDA_5V, TPA_L+, TPA_L-, TPA_R+, TPA_R-, TP_TXRX, VBAT, VBAT1";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"19";"";"";"";"";"";"";"";"";
"12";"WS2812_5050";"WS2812_5050";"WS2812-5X5-4PIN";"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D13";"Addressable RGB LED - 1 Wire";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-12503";"";"";"";"";"";
